Ref,Val,Package,PosX,PosY,Rot,Side
"L15","820n","L_0805_2012Metric",39.573533,51.031800,-90.000000,top
"L16","1µ5","L_0805_2012Metric",32.138532,51.031800,-90.000000,top
"L17","40µ","L_0805_2012Metric",57.725200,41.031800,90.000000,top
"R1","12k","R_0603_1608Metric",-4.769400,27.819400,180.000000,top
"R2","20k","R_0603_1608Metric",-0.861800,30.103400,-90.000000,top
"R3","0r","R_0603_1608Metric",7.543800,25.171400,0.000000,top
"R4","0r","R_0603_1608Metric",9.860600,21.636400,90.000000,top
"R5","30k","R_0603_1608Metric",4.592800,32.443000,90.000000,top
"R6","30k","R_0603_1608Metric",17.398200,35.022000,90.000000,top
"R7","350R","R_1206_3216Metric",41.295200,36.191800,180.000000,top
"R8","350R","R_1206_3216Metric",36.438532,36.191800,180.000000,top
"R9","10k","R_0603_1608Metric",12.000600,29.222600,180.000000,top
"R10","10k","R_0603_1608Metric",6.160000,32.442800,-90.000000,top
"R11","10k","R_0603_1608Metric",-2.389400,34.857000,90.000000,top
"R12","10k","R_0603_1608Metric",-11.488300,36.229600,90.000000,top
"R13","10k","R_0603_1608Metric",-0.935000,46.944600,90.000000,top
"R14","10k","R_0603_1608Metric",9.450280,46.947200,90.000000,top
"R15","333r","R_0603_1608Metric",47.374800,20.298000,-90.000000,top
"R16","1k","R_0603_1608Metric",49.050200,20.318800,90.000000,top
"R17","10k","R_0603_1608Metric",8.856400,29.291200,180.000000,top
"R18","350R","R_1206_3216Metric",31.581866,36.191800,180.000000,top
"R19","10k","R_0603_1608Metric",15.694400,29.218600,0.000000,top
"R20","1k","R_0603_1608Metric",19.949600,13.739400,0.000000,top
"R21","3k9","R_0603_1608Metric",22.319200,8.944600,90.000000,top
"R22","3k9","R_0603_1608Metric",23.993200,8.878000,90.000000,top
"R23","10k","R_0603_1608Metric",19.843800,29.227200,0.000000,top
"R24","20k","R_0603_1608Metric",18.176600,30.902000,0.000000,top
"R25","10k","R_0603_1608Metric",4.587200,35.521800,-90.000000,top
"R26","20k","R_0603_1608Metric",6.147400,35.519200,90.000000,top
"R27","10k","R_0603_1608Metric",40.218600,15.107600,180.000000,top
"R28","10k","R_0603_1608Metric",43.250800,15.126000,180.000000,top
"R29","50R","R_0603_1608Metric",20.578400,35.048200,90.000000,top
"R30","50R","R_0603_1608Metric",18.712200,38.112600,90.000000,top
"R31","50R","R_0603_1608Metric",18.753400,45.777200,-90.000000,top
"R32","50R","R_0603_1608Metric",6.113400,42.147200,90.000000,top
"R33","50R","R_0603_1608Metric",4.553400,42.167200,90.000000,top
"R34","50R","R_0603_1608Metric",3.023400,42.177200,90.000000,top
"R35","350R","R_1206_3216Metric",26.725200,36.191800,180.000000,top
"R36","50R","R_0603_1608Metric",52.895200,46.821800,90.000000,top
"R37","2k2","R_0603_1608Metric",54.495200,43.701800,90.000000,top
"R38","450R","R_0603_1608Metric",54.535200,46.821800,90.000000,top
"R39","50R","R_0603_1608Metric",56.215200,50.041800,90.000000,top
"R40","68R","R_0603_1608Metric",54.715200,50.041800,-90.000000,top
"R41","0r","R_0603_1608Metric",2.905200,7.351800,0.000000,top
"R42","0r","R_0603_1608Metric",5.965200,7.361800,0.000000,top
"R43","0r","R_0603_1608Metric",40.505200,32.991800,-90.000000,top
"R44","0r","R_0603_1608Metric",38.965200,33.001800,-90.000000,top
"R45","10k","R_0603_1608Metric",3.345200,16.151800,180.000000,top
"R46","10k","R_0603_1608Metric",6.775200,16.151800,0.000000,top
"R47","0r","R_0603_1608Metric",9.515200,15.471800,-90.000000,top
"R48","0r","R_0603_1608Metric",22.445200,50.411800,-90.000000,top
"R49","0r","R_0603_1608Metric",-18.234800,29.881800,90.000000,top
"T1","MABAES0031","Transformer_MACOM_MABAES00031CT",-13.876600,43.181200,0.000000,top
"T2","MABAES0031","Transformer_MACOM_MABAES00031CT",21.377400,41.859200,180.000000,top
"U1","SN74CBT3253","SOIC-16_3.9x9.9mm_P1.27mm",-5.410200,41.630200,-90.000000,top
"U2","SN74CBT3253","SOIC-16_3.9x9.9mm_P1.27mm",12.118400,41.630200,90.000000,top
"U3","Si5351A-B-GT","MSOP-10_3x3mm_P0.5mm",5.893700,21.997300,180.000000,top
"U4","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",-6.935000,35.118600,180.000000,top
"U5","ULN2003A","SOIC-16_3.9x9.9mm_P1.27mm",37.235200,27.731800,90.000000,top
"U6","tcxo 25.0Mhz","Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm",3.435200,18.603600,90.000000,top
"U7","MCP23008-xML","QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",27.615200,27.861800,0.000000,top
"U8","ap7313","SOT-23-3",18.946600,18.067600,0.000000,top
"U9","CAT24C128","SOIC-8_3.9x4.9mm_P1.27mm",17.763800,10.152200,0.000000,top
"U10","SGTL5000XNAA3","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm",13.797400,23.109600,180.000000,top
"U11","LD1117S33TR_SOT223","SOT-223-3_TabPin2",40.208200,10.718800,180.000000,top
"U12","LM317_SOT-223","SOT-223-3_TabPin2",51.630200,12.808800,180.000000,top
"U13","txco 12.288Mhz","Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm",8.615200,18.602600,90.000000,top
"U14","TLV9064","SO-14_3.9x8.65mm_P1.27mm",11.988800,33.959800,90.000000,top
"U15","TLV9001IDCK","SOT-353_SC-70-5",-4.874800,30.051800,180.000000,top
